,brand,model,top_speed_kmh,battery_capacity_kWh,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type
186,Lexus,RZ 450e,160,64.0,96.0,435.0,158,350,5.6,100.0,CCS,750.0,522,5,AWD,JD - Large,4805,1895,1635,SUV
187,Lexus,UX 300e,160,64.0,96.0,300.0,145,340,7.5,35.0,CHAdeMO,0.0,316,5,FWD,JC - Medium,4495,1840,1545,SUV
188,Lotus,Eletre,250,109.0,0.0,710.0,204,495,4.5,259.0,CCS,2250.0,611,5,AWD,JF - Luxury,5103,2019,1630,SUV
189,Lotus,Eletre R,260,109.0,0.0,985.0,266,455,2.9,259.0,CCS,2250.0,611,5,AWD,JF - Luxury,5103,2019,1636,SUV
190,Lotus,Eletre S,250,109.0,0.0,710.0,222,480,4.5,259.0,CCS,2250.0,611,5,AWD,JF - Luxury,5103,2019,1630,SUV
191,Lotus,Emeya,250,98.9,0.0,710.0,198,520,4.2,240.0,CCS,2250.0,509,5,AWD,F - Luxury,5139,2005,1464,Liftback Sedan
192,Lotus,Emeya R,256,98.9,0.0,985.0,227,465,2.8,240.0,CCS,1225.0,509,5,AWD,F - Luxury,5139,2005,1464,Liftback Sedan
193,Lotus,Emeya S,250,98.9,0.0,710.0,198,520,4.2,240.0,CCS,2250.0,509,5,AWD,F - Luxury,5139,2005,1464,Liftback Sedan
194,Lucid,Air Grand Touring,270,112.0,6600.0,1200.0,143,665,3.0,184.0,CCS,0.0,456,5,AWD,F - Luxury,4975,1939,1410,Sedan
195,Lucid,Air Pure RWD,200,92.0,5400.0,0.0,130,565,4.7,160.0,CCS,0.0,456,5,RWD,F - Luxury,4975,1939,1410,Sedan
196,Lucid,Air Touring,250,92.0,5400.0,0.0,142,580,3.2,160.0,CCS,0.0,456,5,AWD,F - Luxury,4975,1939,1410,Sedan
197,Lynk&Co,02,180,65.0,0.0,343.0,149,370,5.5,90.0,CCS,1600.0,410,5,RWD,JC - Medium,4460,1845,1573,SUV
198,MG,Cyberster GT,200,74.4,0.0,725.0,168,395,3.2,85.0,CCS,0.0,249,2,AWD,G - Sports,4535,1913,1329,Cabriolet
199,MG,Cyberster Trophy,195,74.4,0.0,475.0,146,425,5.0,85.0,CCS,0.0,249,2,RWD,G - Sports,4535,1913,1329,Cabriolet
200,MG,4 Electric 51 kWh,160,50.8,104.0,250.0,145,300,7.7,68.0,CCS,500.0,363,5,RWD,C - Medium,4287,1836,1504,Hatchback
201,MG,4 Electric 64 kWh,160,61.7,104.0,250.0,142,360,7.9,116.0,CCS,500.0,363,5,RWD,C - Medium,4287,1836,1504,Hatchback
202,MG,4 Electric 77 kWh,180,74.4,0.0,350.0,143,425,6.5,110.0,CCS,500.0,363,5,RWD,C - Medium,4287,1836,1516,Hatchback
203,MG,4 Electric XPOWER,200,61.7,104.0,600.0,160,320,3.8,116.0,CCS,500.0,363,5,AWD,C - Medium,4287,1836,1516,Hatchback
204,MG,5 Electric Long Range,185,57.4,0.0,280.0,151,335,7.7,60.0,CCS,500.0,479,5,FWD,C - Medium,4600,1818,1543,Station/Estate
205,MG,5 Electric Standard Range,185,46.0,0.0,280.0,148,265,7.7,53.0,CCS,500.0,479,5,FWD,C - Medium,4600,1818,1543,Station/Estate
206,MG,S5  EV 49 kWh,170,47.1,0.0,250.0,139,275,8.0,80.0,CCS,750.0,453,5,RWD,JC - Medium,4476,1849,1621,SUV
